Cluster	Kingdom	Phylum	Class	Order	Family	Genus	Species
C1	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C2	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lactobacillus buchneri
C4	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Musa acuminata subsp. malaccensis
C5	NA	Archaeplastida	Chloroplastida	Charophyta	Phragmoplastophyta	Streptophyta	Embryophyta
C6	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C7	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter	Commensalibacter sp.
C8	NA	Amorphea	Obazoa	Opisthokonta	Nucletmycea	Fungi	Dikarya
C9	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia sp.
C10	NA	Amorphea	Obazoa	Opisthokonta	Holozoa	Choanozoa	Metazoa
C11	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
C13	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Weeksella	uncultured Flavobacterium sp.
C14	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C15	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lactobacillus buchneri
C16	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C17	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Musa acuminata subsp. malaccensis
C19	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C21	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp.
C22	NA	Amorphea	Obazoa	Opisthokonta	Holozoa	Choanozoa	Metazoa
C23	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia sp.
C25	NA	Archaeplastida	Chloroplastida	Charophyta	Phragmoplastophyta	Streptophyta	Embryophyta
C27	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C28	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C29	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae sp.	Oxalobacteraceae sp.
C30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Orbaceae	Orbaceae sp.	Orbaceae sp.
C31	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C32	NA	Amorphea	Obazoa	Opisthokonta	Nucletmycea	Fungi	Dikarya
C33	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae sp.	Comamonadaceae sp.
C34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacterales sp.	Enterobacterales sp.	Enterobacterales sp.
C35	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Lampropedia	Lampropedia sp. BRTC-2
C38	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C39	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillaceae sp.	Lactobacillaceae sp.
C40	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C41	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillaceae sp.	Bacillaceae sp.
C42	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C43	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Orbaceae	Incertae Sedis	uncultured bacterium
C44	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcales Incertae Sedis	Populibacterium	Populibacterium sp.
C45	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae sp.	Ruminococcaceae sp.
C47	NA	Amorphea	Obazoa	Opisthokonta	Holozoa	Choanozoa	Metazoa
C49	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae sp.	Microbacteriaceae sp.
C50	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C51	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C52	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C53	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C55	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C56	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	uncultured bacterium
C58	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C59	NA	Amorphea	Obazoa	Opisthokonta	Nucletmycea	Fungi	Dikarya
C60	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured bacterium
C61	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp.
C63	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C64	NA	Amorphea	Obazoa	Opisthokonta	Holozoa	Choanozoa	Metazoa
C65	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C66	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C68	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C69	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Incertae Sedis	uncultured bacterium
C70	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Brucella	Brucella sp.
C71	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Orbaceae	Orbaceae sp.	Orbaceae sp.
C72	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Corticimicrobacter	Corticimicrobacter sp.
C73	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C74	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C75	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C76	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C77	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium sp.
C78	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	uncultured bacterium
C79	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp.
C81	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	uncultured bacterium
C83	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	uncultured organism
C84	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus sp.
C85	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C86	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella sp.
C87	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	uncultured bacterium
C88	Bacteria	Bacillota	Clostridia	Oscillospirales	Ethanoligenenaceae	Ethanoligenens	Ethanoligenens sp.
C89	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae sp.	Moraxellaceae sp.
C90	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	uncultured Firmicutes bacterium
C92	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C93	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	uncultured bacterium
C94	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp. G2-10
C96	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus sp.
C97	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp.
C98	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis
C99	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	Candidatus Soleaferrea sp.
C100	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	uncultured Acinetobacter sp.
C102	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp.
C104	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp.
C105	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	uncultured organism
C106	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium sp.
C107	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella paramesenteroides
C108	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter	Apibacter sp.
C109	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella paramesenteroides
C112	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C115	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacteraceae sp.	Xanthobacteraceae sp.
C116	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia sp.
C118	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured bacterium
C122	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C124	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C132	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp.
C136	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae sp.	Alcaligenaceae sp.
C138	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chishuiella	Empedobacter sp. F-Fue-04TIIa
C139	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Incertae Sedis	Incertae Sedis sp.
C140	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp.
C142	Bacteria	Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Koukoulia	Koukoulia aurantiaca
C145	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
C146	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	Pelagibacterium sp.
C147	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C148	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C149	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C150	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides sp.
C151	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus sp.
C153	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C154	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
C155	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas sp. E3(2011)
C156	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C157	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C158	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C159	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C162	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp.
C163	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia sp.
C165	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Weeksellaceae sp.	Weeksellaceae sp.
C168	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae sp.	Sphingomonadaceae sp.
C178	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp.
C179	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.
C180	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	uncultured bacterium
C182	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas sp.
C183	Bacteria	Bacillota	Clostridia	Clostridia sp.	Clostridia sp.	Clostridia sp.	Clostridia sp.
C184	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae sp.	Sphingobacteriaceae sp.
C186	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Williamsia	Williamsia sp.
C188	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C192	NA	Amorphea	Obazoa	Opisthokonta	Nucletmycea	Fungi	Dikarya
C194	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Weeksella	uncultured bacterium
C195	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Corticimicrobacter	Corticimicrobacter sp.
C197	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lactobacillus buchneri
C199	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C200	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae1	Alcanivorax	Alcanivorax sp.
C202	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp.
C205	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides sp.
C207	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Musa acuminata subsp. malaccensis
C209	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	DVSBS1	uncultured bacterium
C210	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Spiroplasma	Spiroplasma sp.
C216	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C219	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp.
C224	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Syzygium luehmannii
C228	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Leadbetterella	uncultured bacterium
C231	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C235	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C239	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Incertae Sedis	Incertae Sedis sp.
C241	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Luteolibacter sp.
C248	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C254	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C260	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Anaerosinus	Anaerosinus sp.
C261	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C262	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Ruminococcaceae bacterium
C263	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla	Vitreoscilla sp.
C264	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Musa acuminata subsp. malaccensis
C265	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp.
C266	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas sp.
C267	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter sp.
C268	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Vitreoscilla	Vitreoscilla sp.
C269	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Incertae Sedis	Incertae Sedis	uncultured bacterium
C270	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	uncultured bacterium
C271	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	bacterium NLAE-zl-C91
C272	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lactobacillus buchneri
C273	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
C274	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerotignum	Anaerotignum sp.
C275	Bacteria	Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Wohlfahrtiimonadaceae sp.	Wohlfahrtiimonadaceae sp.
C277	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Culicoidibacter	Firmicutes bacterium
C278	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
C279	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces sp.
C280	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter sp.
C281	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp.
C282	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Incertae Sedis	Incertae Sedis sp.
C283	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp.
C284	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C285	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillaceae sp.	Paenibacillaceae sp.
C286	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Incertae Sedis	Incertae Sedis sp.
C287	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp.
C288	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp.
C289	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovoracaceae sp.	Anaerovoracaceae sp.
C290	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccaceae sp.	Paracoccaceae sp.
C292	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Incertae Sedis	Bacteroidetes bacterium 47-18
C293	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Orbaceae	Incertae Sedis	uncultured bacterium
C294	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Micavibrio	Micavibrio sp.
C295	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum sp.
C296	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Cerasicoccus	uncultured bacterium
C297	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
C298	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter sp.
C299	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C301	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.
C302	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp.
C303	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma sp.
C304	Eukaryota	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Teleopsis dalmanni
C305	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma sp.
C306	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Incertae Sedis	Incertae Sedis	uncultured bacterium
C308	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix sp.
C309	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C312	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Incertae Sedis	Incertae Sedis	uncultured bacterium
C313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. enrichment culture clone SA_NR2_1
C314	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum sp.
C315	Bacteria	Bacillota	Bacilli	Desulfuribacillales	Desulfuribacillaceae	Desulfuribacillus	Bacillus sp. RBD1
C316	Bacteria	Bacillota	Bacilli	Desulfuribacillales	Desulfuribacillaceae	Desulfuribacillus	Bacillus sp. RBD1
C317	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured bacterium
C318	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	uncultured bacterium
C319	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus sp.
C320	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	Incertae Sedis	Incertae Sedis	uncultured bacterium
C321	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	Incertae Sedis	Incertae Sedis	uncultured bacterium
C323	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus sp.
C324	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.	Gammaproteobacteria sp.
C325	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
C326	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Cerasicoccus	uncultured bacterium
C327	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C328	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus	Methylobacillus sp.
C329	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Persicitalea	Persicitalea sp.
C331	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp.
C332	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas sp.
C333	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	uncultured bacterium
C334	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Leadbetterella	uncultured bacterium
C335	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Incertae Sedis	Incertae Sedis	uncultured bacterium
C336	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.
C337	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae sp.	Lachnospiraceae sp.
C338	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Incertae Sedis	Incertae Sedis	Incertae Sedis sp.
C339	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Natronincolaceae	Alkaliphilus	Alkaliphilus sp.
C340	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia sp.	Bacteroidia sp.	Bacteroidia sp.	Bacteroidia sp.
C341	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
C343	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Incertae Sedis	uncultured bacterium
