OTU	SRR19709989	SRR19709990	SRR19709991	SRR19709992	SRR19709993	SRR19709994	SRR19709995	SRR19709997	SRR19709998	SRR19709999	SRR19710000	SRR19710001	SRR19710002	SRR19710003	SRR19710004	SRR19710005	SRR19710006	SRR19710009	SRR19710010	SRR19710011	SRR19710012	SRR19710013	SRR19710014	SRR19710015	SRR19710016	SRR19710017	SRR19710018	SRR19710019	SRR19710020	SRR19710021	SRR19710022	SRR19710023	SRR19710025	SRR19710026	SRR19710027	SRR19710028	SRR19710029	SRR19710030	SRR19710031	SRR19710032	SRR19710033	SRR19710034	SRR19710036	SRR19710037	SRR19710038	SRR19710039	SRR19710040	SRR19710041	SRR19710042	SRR19710043	SRR19710044	SRR19710045	SRR19710048	SRR19710049	SRR19710050	SRR19710051	SRR19710088	SRR19710089	SRR19710090	SRR19710091	SRR19710092	SRR19710093	SRR19710094	SRR19710095	SRR19710097	SRR19710098	SRR19710099	SRR19710100	SRR19710101	SRR19710102	SRR19710103	SRR19710104	SRR19710105	SRR19710106	SRR19710108	SRR19710109	SRR19710110	SRR19710111	SRR19710112	SRR19710113	SRR19710114	SRR19710115	SRR19710116	SRR19710117	SRR19710119	SRR19710120	SRR19710121	SRR19710124	SRR19710125	SRR19710126	SRR19710128	SRR19710129	SRR19710130	SRR19710131	SRR19710132	SRR19710133	SRR19710134	SRR19710135	SRR19710136	SRR19710137	SRR19710139	SRR19710140	SRR19710141	SRR19710142	SRR19710143	SRR19710144	SRR19710145	SRR19710146	SRR19710147	SRR19710148	SRR19710150	SRR19710151	SRR19710152	SRR19710153	SRR19710154	SRR19710155	SRR19710156	SRR19710157	SRR19710158	SRR19710159	SRR19710160	SRR19710161	SRR19710162	SRR19710163	SRR19710164	SRR19710165	SRR19710167	SRR19710168	SRR19710169	SRR19710170	SRR19710171	SRR19710172	SRR19710173	SRR19710174	SRR19710175	SRR19710176	SRR19710178	SRR19710179	SRR19710180	SRR19710181	SRR19710182	SRR19710183	SRR19710184	SRR19710185	SRR19710186	SRR19710187	SRR19710189	SRR19710190	SRR19710191	SRR19710192	SRR19710193	SRR19710194	SRR19710195	SRR19710230	SRR19710231	SRR19710233	SRR19710234	SRR19710235	SRR19710236	SRR19710237	SRR19710238	SRR19710239	SRR19710240	SRR19710241	SRR19710242	SRR19710244	SRR19710245	SRR19710246	SRR19710247	SRR19710248	SRR19710249	SRR19710250	SRR19710251	SRR19710252	SRR19710253	SRR19710255	SRR19710256	SRR19710257	SRR19710258	SRR19710259	SRR19710260	SRR19710261	SRR19710262	SRR19710263	SRR19710264	SRR19710266	SRR19710267	SRR19710268	SRR19710269	SRR19710270	SRR19710272	SRR19710273	SRR19710274	SRR19710275	SRR19710276	SRR19710277	SRR19710278	SRR19710279	SRR19710280	SRR19710281	SRR19710283	SRR19710284	SRR19710285	SRR19710286	SRR19710287	SRR19710288	SRR19710289	SRR19710290	SRR19710291	SRR19710292
C1	17609	12809	7913	19270	15549	11015	11409	12582	4361	11991	14669	2187	11422	20053	17130	4394	27774	2488	27212	1784	1	2	670	413	11	0	2	0	0	21	2	8	7	26	4	0	7	5975	0	2401	970	1	1352	2	3	7331	3571	0	13	16	47	1	12	0	5	25	4	0	3	3	6	7	0	0	8	0	1	1	11	0	7	0	1	125	906	58	15	17	7	12	7	23	19	21	7	17	7	11	26	9	30	4	3	0	0	0	2	0	0	0	0	7	0	2	32	9	0	135	164	9	0	0	9	7	0	10	0	0	0	3	44	15	1	7	1	1	1	1	75	2	0	12	2	0	14	0	9	2	0	0	2	3	168	0	182	9	70	0	0	2	10	5	13	154	2	6	3	0	19	1	0	28	18	0	0	7	0	0	9	0	0	0	0	1	1	0	2	0	11	3	0	0	4	0	0	7	0	0	0	2573	95	1461	26	1	0	83	2418	1	0	1	8	23	1	3	22	1	7	1	2	15
C2	10636	21835	10054	22027	13225	15349	3328	11611	1148	6710	24861	607	13036	16759	23181	15538	14061	1326	19911	688	571	73	5388	5174	49	1	183	494	289	2187	3	160	1827	120	112	1200	842	7078	6	9329	4846	1630	6371	357	3434	1497	4872	1161	1873	3412	3055	1154	1870	510	2646	218	21	7	17	36	30	21	10	36	11	20	56	8	12	14	13	10	30	13248	1013	6088	1837	2158	247	258	223	302	314	1693	468	294	151	18	1613	145	193	1390	6	10	4	10	8	0	4	2	42	69	98	116	192	76	37	7	1318	2287	67	56	588	695	61	2706	32	3	35	6	281	2965	9621	18	146	362	14	13	1926	741	127	52	12	1	690	12	20	21	4	7	14	1298	7326	11986	7741	704	2020	3	5	9	54	84	618	47	19	48	8	11	18	40	47	43	49	24	139	17	1	15	594	212	58	5	198	390	11	6	20	31	37	8	3	19	2	0	2827	132	16	3005	480	12679	2658	13469	1360	2613	7	530	4941	5362	78	1	30	33	43	21	25	7	463	6	709	427
C3	7405	3466	1788	4743	2740	2569	1569	3957	425	2542	1990	411	2374	2349	3053	1341	3146	1478	4171	23	15	21	329	3553	17	3	50	14	1611	221	15	326	352	82	34	9	53	1178	4	1559	798	256	4710	41	208	3576	3178	42	57	100	100	85	263	51	98	158	4	1	7	10	9	25	3	35	55	4	53	6	2	3	9	11	2	7552	1617	6176	235	2306	110	624	881	433	1284	878	210	81	140	4	1784	55	4858	242	2	4	1	3	5	0	0	1	2	65	30	27	51	46	15	127	541	34	2	33	138	28	17	337	5	3	8	2	11	8	48	18	555	77	2	18	271	33	7	63	47	3	66	6	102	52	0	0	42	210	10224	3298	1618	548	94	2	2	30	47	19	919	10	3	10	11	3	8	25	49	53	15	27	5	8	3	21	118	366	9	5	17	22	4	0	16	6	19	8	5	2	2	0	10	150	5	29	137	2340	2144	552	277	90	0	12	275	44	28	11	13	6	6	9	54	8	116	22	6	123
C4	1580	972	630	1515	1677	752	675	826	314	522	1516	133	729	2006	1623	142	3824	172	2263	87	0	0	4	1	0	0	0	0	0	4	0	0	0	0	0	0	0	225	0	56	6	0	15	0	0	210	103	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	2	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	4	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	21	0	0	0	1	49	0	0	0	0	2	0	0	0	0	0	0	0	3
C5	86	158	91	188	180	48	15	71	9	2	239	13	79	302	345	52	407	5	77	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C6	3	1	0	0	1	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7	18	152	44	142	64	83	27	3	4	56	150	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	10	0	0	0	0	2	0	5	0	0	0	3	16	3	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1122	489	335	118	233	37	1909	34	2453	49	933	369	146	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8	43	66	258	298	149	181	0	1	3	2	102	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	12	351	35	103	14	89	31	88	115	96	112	9	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9	7	1	0	0	0	2	5	2	2	0	9	4	3	2	2	5	2	2	5	4	2	4	4	5	4	3	2	26	1	42	1	1	52	502	1	23	27	81	0	22	5	857	564	133	240	11	270	182	204	58	190	544	275	12	243	11	4	4	1	0	3	0	0	1	0	4	2	0	1	1	5	0	1	1	0	5	0	4	0	1	0	0	0	0	5	2	7	3	5	1	2	0	0	0	7	0	8	0	0	0	0	4	0	0	2	2	0	7	3	0	0	5	1	2	7	29	5	4	3	0	2	1556	553	0	1	83	8	2	6	5	265	8	44	15	7	4	605	0	0	1	2	2	3	1	3	0	3	1	3	3	2	1	4	0	13	1	1	3	6	4	0	0	0	4	0	1	0	2	0	1	4	0	1	0	0	4	1	4	8	0	3	0	2	0	0	1	340	5	0	0	0	4	5	2	0	0	3	2	4	0	1	7	0	0	0	1	0	1	2	5
C10	5	2	0	0	0	3	0	1	0	0	24	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	58	0	535	15	60	96	106	53	15	54	190	0	2	20	251	209	128	99	0	213	172	468	792	238	255	738	52	211	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	10	1	0	10	0	9	0	0	10	8	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	389	696	378	0	0	248	0	7	4	112	3	32	265	67	46	3	33	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
C11	3	3	3	3	8	1	2	20	3	18	4	2	1	5	3	4	5	51	17	5	1212	315	1609	1400	902	437	347	4	2113	400	28	24	43	336	3073	1136	915	230	1	427	658	2786	3722	5226	1535	58	62	43	58	211	62	69	2682	1907	41	156	6333	809	739	634	1900	4543	103	891	1227	1170	194	84	1010	8668	25	248	247	18	1	16	2	12	0	8	3	3	5	13	1	4	12	1031	39	6780	6983	8150	2658	1285	790	1221	3820	313	86	991	1	1424	1607	3255	3541	1735	635	2158	582	21283	474	1908	4889	2577	1321	14799	95	42	671	1234	914	48	49	1546	1139	2985	1052	847	2191	18620	14136	3681	9457	4037	4814	1100	22727	175	820	388	676	1253	72	467	518	254	2374	2163	3522	363	2525	2053	3991	754	1492	1852	3508	50	2226	6176	3881	2648	3447	1253	474	166	17	836	6263	1827	4166	12	5819	22065	117	2245	625	637	1534	109	187	2313	30	0	1423	3773	708	5939	3382	110	324	3746	4968	2592	147	3809	819	25	1353	4085	1768	2624	1371	282	2734	5003	337	1260	3653	3900
C13	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	24	0	686	2	1	0	1	244	60	0	0	1	0	0	26	24	16	19	0	1	0	2	3	102	7	0	0	1	1	3	0	0	13	0	3	95	40	0	0	4	3	0	1	20	12	0	7	19	0	0	1	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	6	3	2	0	0	0	0	0	0	14	20	0	4	0	0	0	0	0	0	0	302	273	28	4	2082	0	3	1	0	1	0	0	0	0	0	7	9	6	204	61	4	139	4	2	1	2	1	9	0	0	4	0	0	189	35	2	1	35	0	0	0	0	0	0	0	0	0	1	0	6	8	0	0	0	0	11	1	0	176	350	456	4	15	2	95	0	3	3	0	12	0	0	3	0	0	0	8	11	6	61	1	0	116	5	45	4	0	15	0	8	0	0	3	1	119	0	0	0	15	1	195
C14	16851	12075	7517	17893	14589	10476	10479	12067	4163	11184	14051	2333	10671	18640	16148	3994	26587	2290	25595	1717	1	1	598	378	5	0	4	0	0	20	1	11	7	12	0	0	5	5597	0	2214	886	2	1238	2	2	7139	3650	1	7	14	40	3	13	1	3	24	1	0	1	3	0	2	0	1	5	0	0	1	3	0	2	0	1	113	400	53	13	12	8	6	7	19	23	19	4	5	3	0	24	7	20	4	1	0	0	0	1	0	0	0	0	5	1	0	27	8	0	117	151	2	0	0	2	5	0	9	0	0	0	2	42	14	1	5	2	1	1	0	70	1	0	3	2	0	1	0	9	2	0	0	0	3	149	0	168	9	53	0	0	1	7	5	12	130	0	7	3	0	2	1	0	10	1	0	0	3	0	0	9	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	2	5	0	2	0	2432	77	1402	25	1	0	74	2279	0	1	1	4	5	1	3	22	1	5	0	2	3
C15	8521	6123	2824	8043	5200	4147	3147	6097	801	4645	3511	1183	3855	4179	5149	2565	4981	2800	5131	59	107	50	476	3809	25	27	73	951	2315	1237	217	2629	1523	762	129	49	111	1631	2	1554	875	287	4847	59	469	4024	3568	60	77	226	147	108	581	79	233	186	34	62	22	18	22	179	5	114	111	30	106	8	22	7	604	17	1	8766	1748	6559	297	2582	168	783	964	528	1437	959	316	119	160	7	1886	142	4577	506	3	29	5	13	118	4	0	2	2	82	50	42	131	75	23	161	1122	304	12	75	1747	74	7	449	4	5	4	6	24	56	81	40	787	252	14	1296	2125	112	118	72	113	85	270	410	683	1307	76	0	53	230	10471	3892	2401	870	256	118	6	47	71	38	1360	74	43	44	28	914	37	142	574	548	490	215	20	11	1	58	438	867	36	28	385	404	6	11	35	6	28	21	15	13	12	0	40	648	8	2445	351	2422	4860	831	534	212	2	129	350	63	26	28	77	66	59	134	623	341	187	47	297	1571
C16	10594	21653	10300	22133	13012	15164	3414	11543	1150	6806	24750	638	12939	16639	23050	15592	14145	1353	19449	699	475	51	2394	3821	31	8	193	256	294	1037	6	81	82	79	29	170	166	5007	3	6295	1732	1248	4130	268	2575	1604	4177	916	1691	2860	2960	995	1713	378	2446	194	28	21	40	44	33	56	9	28	4	9	47	6	32	11	16	2	13	13114	912	6340	1853	2136	324	280	259	325	557	1632	511	291	159	11	1611	88	76	682	4	6	3	46	12	6	4	8	46	59	83	91	170	77	38	27	662	1706	71	70	59	228	34	1861	53	4	17	6	228	1218	9404	27	139	50	4	3	79	238	21	58	13	8	621	12	21	37	3	6	22	1089	5836	8699	4108	570	1282	3	11	12	47	81	208	35	18	46	31	11	31	39	39	33	28	18	144	14	4	11	321	49	24	2	54	117	24	2	36	22	40	7	2	28	8	0	2098	135	6	2575	309	8706	1444	7627	746	1201	11	237	1887	5371	83	3	64	28	34	24	18	16	399	14	108	75
C17	1520	887	541	1333	1478	671	623	780	315	464	1347	226	644	1893	1477	126	3747	161	2059	91	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	204	0	42	5	0	15	0	0	211	101	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	7	21	0	0	0	1	46	0	0	0	0	1	0	0	0	0	0	0	0	1
C19	0	9	6	0	0	0	0	0	0	0	1	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3878	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21	1	40	13	20	20	7	0	4	1	12	38	0	4	4	0	3	2	44	0	0	2060	1008	1000	1008	492	98	3375	869	701	4505	440	2124	3282	534	1102	574	588	111	1	1341	1210	1178	1472	961	2181	23	69	103	199	402	78	46	450	870	185	980	103	1666	360	880	501	2012	2	136	39	1040	52	21	199	1858	1028	489	40	609	12284	25	33	82	6	13	5	200	20	116	14	56	87	2874	90	187	159	56	4	2010	185	265	561	4374	1794	235	7	9037	632	806	7263	2135	226	578	661	4236	74	713	920	618	114	5445	109	15	338	150	4421	676	217	8610	6	1102	117	1230	65	146	835	799	382	7948	223	1811	1846	4857	2113	434	7061	58	270	356	75	50	450	978	484	1481	1445	1215	5254	797	291	686	6342	7540	2864	3526	5246	7109	312	89	19	403	65	3785	43	36	3	1	0	5422	28	727	38	66	154	8874	148	1088	14	1	69	376	109	343	312	20	1042	1411	1047	232	54	30	287	46	204	1009	749	921	321	2899	13577	3727	306	31	27	194
C22	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	60	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C23	7	4	0	2	1	2	0	1	0	0	9	3	3	1	0	6	0	1	0	3	2	3	4	2	3	1	2	18	1	86	1	0	39	391	1	19	24	59	0	14	2	695	424	121	194	12	209	142	170	38	144	440	217	9	194	18	4	3	1	0	1	0	0	1	0	4	0	0	1	1	5	0	1	1	0	6	0	3	0	1	2907	0	0	0	4	2	4	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	3	0	0	3	0	2	7	21	5	2	3	1	1	1220	402	0	0	57	8	9	5	4	197	7	37	9	3	3	457	0	0	1	2	2	1	0	1	0	0	0	3	2	0	0	4	0	10	0	0	0	3	4	0	0	0	4	0	1	0	2	2	1	4	0	2	0	0	3	0	1	5	0	1	0	2	0	0	0	297	3	1	0	0	7	3	2	1	0	2	0	3	0	0	4	0	0	0	1	0	0	2	4
C25	85	153	81	171	155	57	14	67	9	2	206	17	65	286	302	48	388	5	69	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C27	3	18	8	79	48	14	9	4	2	76	31	0	4	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	3	0	2	0	0	1	0	3	0	0	0	0	6	1	1	1	0	6	1	1	1	0	0	0	13	0	0	0	0	0	62	0	0	2	0	0	2336	1368	2962	3442	1594	1541	4568	281	5112	92	4728	4803	3912	1554	2	4	0	0	0	0	0	0	3	1	1	0	0	0	0	2	1	2	1	0	0	0	3	0	2	0	3	0	0	0	0	1	0	1	0	4	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	3	1	0	1	1	0	1	0	0	0	0	0	0	2	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	115	0	0	0	0	1	1	0	0	0	0
C28	0	5	2	51	10	13	0	1	0	35	9	0	8	1	0	2	5	0	0	2	3	443	388	14	20	68	645	155	3	0	0	1	0	0	105	113	75	1	0	45	6	0	7	5	21	252	806	2	4	26	7	2	3	17	3	1	46	87	518	335	51	31	34	86	19	477	37	14	933	9	6	6	6	1053	1948	553	1518	1289	28	1622	496	2419	511	1481	916	597	1736	7	20	2	16	3	1	113	69	29	36	4	225	4	0	458	1208	1160	3988	2765	415	104	0	1	55	8	1	227	8	36	3	4	8	226	2	3	1	16	40	0	1	0	1	0	1	23	173	44	775	19	975	483	126	30	38	263	13	22	11	2	13	264	118	435	1039	1355	0	163	88	2195	7	7	68	151	370	298	74	81	15	1	2	0	0	0	0	0	2	0	11	174	56	21	25	20	1	8	3	0	79	108	21	4	0	0	0	401	119	329	9	1062	4	2	31	13	1042	4444	1146	13	782	147	134	4	3	0
C29	0	3	1	1	6	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	418	8	2	0	2	1	0	23	44	688	53	8	0	0	0	19	0	14	2	1	4	0	6	0	0	0	0	0	0	0	0	1	0	1	2	0	3	1	1	2	0	7	3	2	4	4	0	0	3	0	2	19	0	5	1	3	0	5	0	4	1	2	0	0	0	1	0	0	3	1	0	0	0	2	2	1	0	0	1	0	1	0	0	1	0	0	111	3	2	0	14	174	0	8	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	180	1	1	1	0	0	0	0	0	1	71	13	1	1	3	0	0	2	0	0	382	0	1	0	0	0	0	0	3	4	5	3	0	2	1	0	0	0	1	0	0	0	2	1	2	2	5	5	1	1	0	0	0	18	8	0	1	0	22	0	4	6	11	0	0	0	9	1	1	0	0	0	2	6	25	0	0	2
C30	3	52	31	183	70	105	12	2	3	102	37	1	103	0	0	0	0	18	0	0	2	1	2	3	0	0	3	6	6	0	0	0	11	0	5	4	3	3	0	2	1	0	9	0	2	1	1	4	3	17	5	1	8	1	17	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3945	2963	11937	4183	3782	178	8942	1596	8569	796	7849	5705	732	3789	1	9	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	2	2	0	0	0	1	0	3	0	8	3	2	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	2	0	4	1	0	0	2	4	0	0	1	1	5	1	2	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	1	0	2	0	0	1	3	0	0	0	0	0	3	2	0	0	0	0	0
C31	0	4	4	3	3	0	0	0	0	1	2	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C32	40	83	296	306	150	203	1	2	3	4	107	0	35	5	6	1	11	0	4	0	2	0	0	8	0	0	1	0	25	1	0	2	3	1	0	0	0	24	0	27	0	2	19	1	14	15	19	3	4	122	4	6	20	0	11	18	12	0	2	0	0	2	0	2	1	0	2	0	0	0	1	0	0	608	573	398	45	110	15	95	44	93	143	102	131	25	37	0	21	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	6	1	0	2	1	1	0	1	0	0	0	0	34	29	5	0	2	1	0	6	8	0	0	0	1	0	0	1	0	0	1	0	0	3	58	38	12	9	2	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	3	2	0	0	5	2	0	0	9	0	0	0	1	1	0	1	0	0	1	0	0	0	0	15	1	17	82	70	6	12	0	0	17	9	0	7	0	0	2	0	1	0	0	0	2	6
C33	4	0	3	1	5	5	31	1	1	19	1	0	2	1	0	8	1	10	2	9	130	703	1491	1064	1332	1019	1255	383	232	2874	905	1044	1859	632	2217	920	699	141	0	179	563	399	3077	482	983	27	109	13	8	27	9	18	188	1662	15	541	286	1029	802	1484	3261	1137	325	1124	503	1409	559	1709	1222	230	257	158	1014	28	40	133	28	34	39	19	7	13	5	266	115	35	22	6451	9	890	881	909	755	538	1050	1415	2819	209	88	1724	6	428	933	885	780	1355	340	2669	931	2448	1134	289	701	1680	920	1317	844	313	1425	2311	22	20	45	629	6122	963	20	674	2101	493	864	4130	1149	3118	2229	2071	369	226	236	807	309	764	267	1499	95	31	773	180	719	188	626	681	170	766	1923	1545	673	21	592	6844	2733	926	2214	1764	898	1425	166	118	1726	891	144	14	198	572	1038	1900	3332	1163	4353	622	267	520	186	1	2039	2230	3549	42	540	520	362	1722	3619	2085	2048	226	50	37	2914	780	6532	1871	5667	974	3791	2195	412	621	140	1372
