FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	library_construction_protocol
pool_37	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool37.fastq.gz	32d24ef9b24a940f65a1dca6658ac7ec	Nanopore SQK-LSK114
pool_38	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool38.fastq.gz	baba05a9a7da934f746a1667539f7ea3	Nanopore SQK-LSK114
pool_39	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool39.fastq.gz	7c7aabf01f3b26fe046baae34f3cfe8e	Nanopore SQK-LSK114
pool_4	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool4.fastq.gz	11a9b16e8f9c40b42ace9651d0eaaff5	Nanopore SQK-LSK114
pool_40	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool40.fastq.gz	943abdbdc652ee96ec4fb6c9ff39806d	Nanopore SQK-LSK114
pool_41	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool41.fastq.gz	ee08803c02d5db7952384f2b41000133	Nanopore SQK-LSK114
pool_42	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool42.fastq.gz	d873fb6024fb24f4b7bd5f3684d859bd	Nanopore SQK-LSK114
pool_43	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool43.fastq.gz	bc18dba85ee72d9dff084e476b46a78d	Nanopore SQK-LSK114
pool_44	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool44.fastq.gz	345eac73992f684fdaf205d266fcb8d7	Nanopore SQK-LSK114
pool_45	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool45.fastq.gz	37f34e540d2007ff6dc5d3a5bedb81af	Nanopore SQK-LSK114
pool_46	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool46.fastq.gz	a47452cc207345af5a17eb9a96f86c40	Nanopore SQK-LSK114
pool_47	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool47.fastq.gz	c983dfa461a1c76c861af11aa7409766	Nanopore SQK-LSK114
pool_48	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool48.fastq.gz	1464efbe72fa710b802d60bc4491108d	Nanopore SQK-LSK114
pool_49	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool49.fastq.gz	d8332e728a56303452e87b993c57f57a	Nanopore SQK-LSK114
pool_5	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool5.fastq.gz	7c122d0f4cb547f09a79c8f926da26a5	Nanopore SQK-LSK114
pool_50	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool50.fastq.gz	91f8913b6720fec6f5496d7c11f58d54	Nanopore SQK-LSK114
pool_51	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool51.fastq.gz	742f7ecc26333518bd7a22d9ec808663	Nanopore SQK-LSK114
pool_52	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool52.fastq.gz	23fa68a894aab18e181f7797565211f7	Nanopore SQK-LSK114
pool_53	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool53.fastq.gz	9b310aa353074d909dd96ab7eec5c152	Nanopore SQK-LSK114
pool_54	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool54.fastq.gz	bb0b82a363b871d36185dbb6d7bd8173	Nanopore SQK-LSK114
pool_55	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool55.fastq.gz	beaa8fffe1b5e2080d87fb7533419304	Nanopore SQK-LSK114
pool_56	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool56.fastq.gz	f6c034dbc0eb20f08efe441805f683d4	Nanopore SQK-LSK114
pool_57	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool57.fastq.gz	f5824a8c00a462333833dcc58fbd76a4	Nanopore SQK-LSK114
pool_58	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool58.fastq.gz	3cc125bea9403d6493f112c13835fab9	Nanopore SQK-LSK114
pool_59	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool59.fastq.gz	e9891f284d4699087db85dc1a2ad3034	Nanopore SQK-LSK114
pool_6	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool6.fastq.gz	b8e3aa41ec9a60e61fbc768229873a36	Nanopore SQK-LSK114
pool_60	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool60.fastq.gz	54d50347356c49af987c0668d7a63f93	Nanopore SQK-LSK114
